Variable / Field Name	Form Name	Section Header	Field Type	Field Label	"Choices, Calculations, OR Slider Labels"	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
record_id	case_upload_vars		text	Record ID													
contact_name	case_upload_vars		text	Contact name													
contact_number	case_upload_vars		text	Contact number													
case_list_ip1_yn	case_upload_vars		yesno	Facility IP1 caselist													
case_list_ip2_yn	case_upload_vars		yesno	Facility IP2 caselist													
exposure_ip1_yn	avian_influenza_triage_ip1		yesno	"<div class=""rich-text-field-label""><p>Were you on site at [FARM A] between DD/MM/YYYY and DD/MM/YYYY?</p></div>"													
time_preference	avian_influenza_triage_ip1		text	What time would work best for one of the [LPHU name] public health officers to contact you on this number?													
exposure_ip2_yn	avian_influenza_triage_facility_ip2		yesno	"<div class=""rich-text-field-label""><p>Were you on site at [FARM B] between DD/MM/YYYY and DD/MM/YYYY?</p></div>"													
time_preference_ip2	avian_influenza_triage_facility_ip2		text	What time would work best for one of the [LPHU name] public health officers to contact you on this number?													
intro	avian_influenza_case_demo		descriptive	"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">I am calling from [</span><em>LPHU</em><span style=""font-weight: normal;"">]. We are working with the Department of Health and the Department of Agriculture in Victoria. </span></p> <p><span style=""font-weight: normal;"">Privacy statement: [</span><em>LPHU</em><span style=""font-weight: normal;"">] is committed to protecting your privacy. [<em>LPHU</em>] is collecting this health information in response to an outbreak of avian influenza. To facilitate the outbreak investigation, we may share your health information with Department of Health or Agriculture Victoria. If you do not provide us with the information requested, we will not be able to investigate your possible exposure to avian influenza. You may access the information you provide to [</span><em>LPHU</em><span style=""font-weight: normal;"">]. </span><br><br><span style=""font-weight: normal;"">As you may be aware, we have been notified of an avian influenza (""bird flu"") virus outbreak among chickens at [</span><em>Farm</em><span style=""font-weight: normal;"">]. </span><span style=""font-weight: normal;"">We are calling because you have been identified as potentially having been exposed to this virus. </span><br><br><span style=""font-weight: normal;"">The chance of humans becoming infected with bird flu virus is low. However, people who come into contact with infected birds or contaminated bird products as part of their daily work or activities may be at risk of becoming infected. We are calling to get some more information from you and give you advice on what you need to do.</span></p></div>"													
pho_name	avian_influenza_case_demo		text	PHO name		PHO Name (LPHU)						y					
pho_lphu	avian_influenza_case_demo		dropdown	LPHU	"1, GVPHU | 2, NEPHU | 3, SEPHU | 4, WPHU | 5, GPHU | 6, GSWPHU | 7, BSWPHU | 8, OMPHU | 9, LMPHU"							y					
call_attempts	avian_influenza_case_demo		notes	"<div class=""rich-text-field-label""><p>List of call attempts</p></div>"													
first_name	avian_influenza_case_demo		text	Contact first name						y		y					
middle_name	avian_influenza_case_demo		text	Contact middle name						y							
last_name	avian_influenza_case_demo		text	Contact last name						y		y					
sex	avian_influenza_case_demo		dropdown	"<div class=""rich-text-field-label""><p>Sex</p></div>"	"1, Male | 2, Female | 3, Other | 4, Not Stated"					y		y					
birth_date	avian_influenza_case_demo		text	Date of birth		DD-MM-YYYY	date_dmy	1/01/1900	31/12/2099	y		y					
address_street	avian_influenza_case_demo		text	Residential address at time of initial notification						y							
address_suburb_town	avian_influenza_case_demo		text	Suburb / Town						y							
address_state	avian_influenza_case_demo		dropdown	State	"1, VIC | 2, NSW | 3, TAS | 4, QLD | 5, WA | 6, SA | 7, ACT | 8, NT"												
postcode	avian_influenza_case_demo		text	Postcode			postalcode_australia										
phone	avian_influenza_case_demo		text	"<div class=""rich-text-field-label""><p>Phone number</p> <p><span style=""font-weight: normal;"">Mobile phone preferred for symptom SMS automation</span></p></div>"			phone_australia			y							
email	avian_influenza_case_demo		text	"<div class=""rich-text-field-label""><p>Email address<br><br><span style=""font-weight: normal;""><em>Please note, if an email was not provided in the contact list, each individual has been assigned the generic email for the EDA team. Please update with contact's email.</em></span></p></div>"			email			y							
indigenous_status	avian_influenza_case_demo		radio	Indigenous status	"1, Aboriginal but not Torres Strait Islander origin | 2, Torres Strait Islander but not Aboriginal origin | 3, Aboriginal and Torres Strait Islander origin | 4, Not Aboriginal or Torres Strait Islander | 5, Declined to answer | 6, Missing/Not Stated"												
country_of_birth	avian_influenza_case_demo		text	Country of birth													
language_spoken_at_home	avian_influenza_case_demo		notes	Language spoken at home													
interpreter	avian_influenza_case_demo		radio	Interpreter required	"1, Yes | 2, No | 3, Unknown | 4, Not stated | 5, Not applicable"												
farm_description_ip1	avian_influenza_case_facility_ip1_risk	"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Introduction</span></p></div>"	descriptive	"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">This survey is for [FARM A/IP1]</span></p></div>"													
exposure_ip1_check_yn	avian_influenza_case_facility_ip1_risk		yesno	Were you on site at [FARM A] between [these] dates? 													
overnight_yn_ip1	avian_influenza_case_facility_ip1_risk		yesno	"<div class=""rich-text-field-label""><p>Do you live on, or stay overnight at, the farm?</p></div>"							[exposure_ip1_yn] = '1' or [exposure_ip1_check_yn] = '1'						
working_site_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>Are you currently still working on or attending the site?</p></div>"	"1, Yes | 2, No"						[exposure_ip1_yn] = '1' or [exposure_ip1_check_yn] = '1'						
last_attendance_ip1	avian_influenza_case_facility_ip1_risk		text	"<p>If not, what was the last date of attendance?</p>"			date_dmy	1/01/1900	today		[working_site_ip1] = 2						
activities_descriptive_ip1	avian_influenza_case_facility_ip1_risk		notes	"<div class=""rich-text-field-label""><p><em>For staff:</em></p> <p>Prior to [period of interest], what did your role at [FARM A] involve?</p> <p><em>For visitors:</em></p> <p>Prior to [period of interest], what was the purpose of your visit to [FARM A], and what did you do while at the farm?</p></div>"							[exposure_ip1_yn] = '1' or [exposure_ip1_check_yn] = '1'						
activities_outbreak_ip1	avian_influenza_case_facility_ip1_risk		notes	"<div class=""rich-text-field-label""><p>Since [period of interest], has your role changed, and what activities have you been involved in at [FARM A]?</p></div>"							[working_site_ip1] = '1'						
ppe_ob_ip1	avian_influenza_case_facility_ip1_risk		checkbox	"<div class=""rich-text-field-label""><p>Since [period of interest], what PPE have you been wearing?</p></div>"	"1, Gloves | 2, N95/P2 facemask | 3, Eye protection | 4, Coveralls (waterproof) | 5, Coveralls (not waterproof) | 6, Waterproof apron (if coveralls are not waterproof) | 7, Waterproof shoes | 8, Hair covering | 99, Other"						[exposure_ip1_yn] = '1' or [exposure_ip1_check_yn] = '1'						
ppe_ob_other_ip1	avian_influenza_case_facility_ip1_risk		notes	"If other, please specify:"							[ppe_ob_ip1(99)] = '1'						
work_other_farm_yn_ip1	avian_influenza_case_facility_ip1_risk		yesno	Do you work on any other farms? 							[exposure_ip1_yn] = '1' or [exposure_ip1_check_yn] = '1'						
work_other_farm_contact_ip1	avian_influenza_case_facility_ip1_risk		notes	"If yes, please provide the facility name and contact details for a manager:"							[work_other_farm_yn_ip1] = '1'						
high_risk_activities_ip1	avian_influenza_case_facility_ip1_risk	"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <p><span style=""font-size: 18.6667px;"">High-Risk Activities</span></p> </div></div>"	radio	"<div class=""rich-text-field-label""><p>Since [insert date] have you been involved in any high-risk activities? High risk activities can include slaughtering, defeathering, butchering, performing inspections of infected live or deceased birds.</p> <p><em><span style=""font-weight: normal;"">If case is unsure:</span></em></p> <ul> <li><em><span style=""font-weight: normal;"">Unless further detail is provided by case, record ""Case was unsure"" for all PPE questions</span></em></li> <li><em><span style=""font-weight: normal;"">This response will be treated as a high-risk exposure</span></em></li> </ul></div>"	"1, Yes | 2, No | 3, Case was unsure"						[exposure_ip1_yn] = '1' or [exposure_ip1_check_yn] = '1'						
high_risk_activities_description_ip1	avian_influenza_case_facility_ip1_risk		notes	"If yes, please specify which activities:"							[high_risk_activities_ip1] = '1'						
high_risk_activities_date_ip1	avian_influenza_case_facility_ip1_risk		text	"<div class=""rich-text-field-label""><p>What date did you most recently conduct high-risk activities?</p></div>"			date_dmy		today		[high_risk_activities_ip1] = '1'						
high_risk_ppe_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>For this contact, were you wearing sufficient PPE?<br><br><em><span style=""font-weight: normal;"">*Sufficient PPE = gloves, N95/P2 facemask, eye protection, coveralls, waterproof apron (if coveralls are not waterproof), waterproof shoes, hair covering</span></em></p></div>"	"1, Yes | 2, No | 3, Case was unsure"						[high_risk_activities_ip1] = '1' OR [high_risk_activities_ip1] = '3'						
high_risk_ppe_breach_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>For this contact, did you experience any issues with your PPE?<br><br><em><span style=""font-weight: normal;"">For example, missing, torn, or broken PPE.</span></em></p></div>"	"1, Yes | 2, No | 3, Case was unsure"						[high_risk_activities_ip1] = '1' OR [high_risk_activities_ip1] = '3'						
high_risk_ppe_removal_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>For this contact, did you perform hand hygiene before and after removing your eye protection and mask?</p> <p><em><span style=""font-weight: normal;"">Includes hand washing or sanitiser.</span></em></p></div>"	"1, Yes | 2, No | 3, Case was unsure"						[high_risk_activities_ip1] = '1' OR [high_risk_activities_ip1] = '3'						
high_risk_activities_ppe_date_ip1	avian_influenza_case_facility_ip1_risk		text	"<div class=""rich-text-field-label""><p>When did that PPE breach occur?</p></div>"			date_dmy		today		[high_risk_ppe_ip1] = '2' or [high_risk_ppe_breach_ip1] = '1' or  [high_risk_ppe_removal_ip1] = '2'						
contact_animals_ip1	avian_influenza_case_facility_ip1_risk	"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <p><span style=""font-size: 14pt;"">Direct Contacts</span></p> </div></div>"	radio	"<div class=""rich-text-field-label""><p>Since [insert date], have you had direct contact with live or deceased infected animals, their faeces, litter or products (including eggs before washing)?</p> <p><span style=""font-weight: normal;""><em>If case is unsure:</em></span></p> <ul> <li><span style=""font-weight: normal;""><em>Unless further detail is provided by case, record ""Case was unsure"" for all PPE questions</em></span></li> <li><span style=""font-weight: normal;""><em>This response will be treated as a high-risk exposure</em></span></li> </ul></div>"	"1, Yes | 2, No | 3, Case was unsure"						[exposure_ip1_yn] = '1' or [exposure_ip1_check_yn] = '1'						
contact_objects_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>Since [insert date], have you had direct contact with contaminated objects (contaminated clothing, PPE, trucks, equipment or surfaces/buildings)?</p> <p><span style=""font-weight: normal;""><em>If case is unsure:</em></span></p> <ul> <li><span style=""font-weight: normal;""><em>Unless further detail is provided by case, record ""Case was unsure"" for all PPE questions</em></span></li> <li><span style=""font-weight: normal;""><em>This response will be treated as a high-risk exposure</em></span></li> </ul></div>"	"1, Yes | 2, No | 3, Case was unsure"						[exposure_ip1_yn] = '1' or [exposure_ip1_check_yn] = '1'						
contact_other_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>Since [insert date], have you had direct contact with any other animals or animal products, including handling, handfeeding, collecting eggs or other animal products, cleaning out enclosures of animals, or other contact with animal faeces of waste, as well as veterinary attendances?</p> <p><span style=""font-weight: normal;""><em>If case is unsure:</em></span></p> <ul> <li><span style=""font-weight: normal;""><em>Unless further detail is provided by case, record ""Case was unsure"" for all PPE questions</em></span></li> <li><span style=""font-weight: normal;""><em>This response will be treated as a high-risk exposure</em></span></li> </ul></div>"	"1, Yes | 2, No | 3, Case was unsure"						[exposure_ip1_yn] = '1' or [exposure_ip1_check_yn] = '1'						
contact_date_ip1	avian_influenza_case_facility_ip1_risk		text	What date did you most recently have this contact?			date_dmy	1/01/1900	today		[contact_animals_ip1] = '1' or [contact_objects_ip1] = '1' or [contact_other_ip1] = '1'						
contact_ppe_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>For these contacts, were you wearing sufficient PPE?</p> <p><em><span style=""font-weight: normal;"">*Sufficient PPE = gloves, N95/P2 facemask, eye protection, coveralls, waterproof apron (if coveralls are not waterproof), waterproof shoes, hair covering</span></em></p></div>"	"1, Yes | 2, No | 3, Case was unsure"						[contact_animals_ip1] = '1' or [contact_animals_ip1] = '3' or [contact_objects_ip1] = '1' or [contact_objects_ip1] = '3' or [contact_other_ip1] = '1' or [contact_other_ip1] = '3'						
contact_ppe_breach_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>For these contacts, did you experience any issues with your PPE?</p> <p><span style=""font-weight: normal;""><em>For example, missing, torn, or broken PPE.</em></span></p></div>"	"1, Yes | 2, No | 3, Case was unsure"						[contact_animals_ip1] = '1' or [contact_animals_ip1] = '3' or [contact_objects_ip1] = '1' or [contact_objects_ip1] = '3' or [contact_other_ip1] = '1' or [contact_other_ip1] = '3'						
contact_ppe_removal_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>For these contacts, did you perform hand hygiene before and after removing your eye protection and mask?</p> <p><span style=""font-weight: normal;""><em>Includes hand washing or sanitiser.</em></span></p></div>"	"1, Yes | 2, No | 3, Case was unsure"						[contact_animals_ip1] = '1' or [contact_animals_ip1] = '3' or [contact_objects_ip1] = '1' or [contact_objects_ip1] = '3' or [contact_other_ip1] = '1' or [contact_other_ip1] = '3'						
contact_ppe_date_ip1	avian_influenza_case_facility_ip1_risk		text	"<div class=""rich-text-field-label""><p>When did that PPE breach occur?</p></div>"			date_dmy	1/01/1900	today		[contact_ppe_ip1] = '2' or [contact_ppe_breach_ip1] = '1' or [contact_ppe_removal_ip1] = '2'						
vicinity_note_ip1	avian_influenza_case_facility_ip1_risk	"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <p><span style=""font-size: 14pt;"">Vicinity Exposures</span></p> </div></div>"	descriptive	"<div class=""rich-text-field-label""><p><em>If case has conducted high-risk activities or had direct contacts:</em></p> <p>Aside from the direct exposures you mentioned, we are wanting to know if there have been any other instances where you were in the vicinity of infected animals, products, or objects.</p></div>"							[high_risk_activities_ip1] = '1' or [high_risk_activities_ip1] = '3' or [contact_animals_ip1] = '1' or [contact_animals_ip1] = '3' or [contact_animals_ip1] = '3' or [contact_objects_ip1] = '3' or [contact_other_ip1] = '1' or [contact_other_ip1] = '3'						
vicinity_animals_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>Since [insert date], have you been in the vicinity of live or deceased infected animals, their faeces, litter or products (including eggs before washing)?</p> <p><span style=""font-weight: normal;""><em>If case is unsure:</em></span></p> <ul> <li><span style=""font-weight: normal;""><em>Unless further detail is provided by case, record ""Case was unsure"" for all PPE questions</em></span></li> <li><span style=""font-weight: normal;""><em>This response will be treated as a low-risk exposure</em></span></li> </ul></div>"	"1, Yes | 2, No | 3, Case was unsure"						[exposure_ip1_yn] = '1' or [exposure_ip1_check_yn] = '1'						
vicinity_objects_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>Since [insert date], have you been in the vicinity of contaminated objects (clothing, PPE, trucks, equipment, or surfaces/buildings)?</p> <p><span style=""font-weight: normal;""><em>If case is unsure:</em></span></p> <ul> <li><span style=""font-weight: normal;""><em>Unless further detail is provided by case, record ""Case was unsure"" for all PPE questions</em></span></li> <li><span style=""font-weight: normal;""><em>This response will be treated as a low-risk exposure</em></span></li> </ul></div>"	"1, Yes | 2, No | 3, Case was unsure"						[exposure_ip1_yn] = '1' or [exposure_ip1_check_yn] = '1'						
vicinity_other_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>Since [insert date], have you been in the vicinity of any other animals or animal products (including eggs), animal faeces or waste, or veterinary attendances?</p> <p><span style=""font-weight: normal;""><em>If case is unsure:</em></span></p> <ul> <li><span style=""font-weight: normal;""><em>Unless further detail is provided by case, record ""Case was unsure"" for all PPE questions</em></span></li> <li><span style=""font-weight: normal;""><em>This response will be treated as a low-risk exposure</em></span></li> </ul></div>"	"1, Yes | 2, No | 3, Case was unsure"						[exposure_ip1_yn] = '1' or [exposure_ip1_check_yn] = '1'						
vicinity_date_ip1	avian_influenza_case_facility_ip1_risk		text	What date did you most recently have this contact?			date_dmy		today		[vicinity_animals_ip1] = '1' or [vicinity_objects_ip1] = '1' or [vicinity_other_ip1] = '1'						
vicinity_ppe_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>For these contacts, were you wearing sufficient PPE?</p> <p><span style=""font-weight: normal;""><em>*Sufficient PPE = gloves, N95/P2 facemask, eye protection, coveralls, waterproof apron (if coveralls are not waterproof), waterproof shoes, hair covering</em></span></p></div>"	"1, Yes | 2, No | 3, Case was unsure"						[vicinity_animals_ip1] = '1' or [vicinity_animals_ip1] = '3' or [vicinity_objects_ip1] = '1' or [vicinity_objects_ip1] = '3' or [vicinity_other_ip1] = '1' or [vicinity_other_ip1] = '3'						
vicinity_ppe_breach_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>For these contacts, did you experience any issues with your PPE?<br><br><span style=""font-weight: normal;""><em>For example, missing, torn, or broken PPE.</em></span></p></div>"	"1, Yes | 2, No | 3, Case was unsure"						[vicinity_animals_ip1] = '1' or [vicinity_animals_ip1] = '3' or [vicinity_objects_ip1] = '1' or [vicinity_objects_ip1] = '3' or [vicinity_other_ip1] = '1' or [vicinity_other_ip1] = '3'						
vicinity_ppe_removal_ip1	avian_influenza_case_facility_ip1_risk		radio	"<div class=""rich-text-field-label""><p>For these contacts, did you perform hand hygiene before and after removing your eye protection and mask?</p> <p><span style=""font-weight: normal;""><em>Includes hand washing or sanitiser.</em></span></p></div>"	"1, Yes | 2, No | 3, Case was unsure"						[vicinity_animals_ip1] = '1' or [vicinity_animals_ip1] = '3' or [vicinity_objects_ip1] = '1' or [vicinity_objects_ip1] = '3' or [vicinity_other_ip1] = '1' or [vicinity_other_ip1] = '3'						
vicinity_ppe_date_ip1	avian_influenza_case_facility_ip1_risk		text	When did that PPE breach occur?			date_dmy		today		[vicinity_ppe_ip1] = '2' or [vicinity_ppe_breach_ip1] = '1' or [vicinity_ppe_removal_ip1] = '2'						
